step,event,throughput,memory_monolithic,memory_paged,memory_paged_compressed,fragmentation_monolithic,fragmentation_paged,fragmentation_paged_compressed
83,"{'op': 'alloc', 'id': 78, 'size': 31}",31,977,1856,1856.0,0.0,0.546875,0.546875
84,"{'op': 'free', 'id': 43}",0,959,1824,1824.0,0.0,0.5546875,0.5546875
85,"{'op': 'alloc', 'id': 80, 'size': 24}",24,983,1856,1856.0,0.0,0.546875,0.546875
86,"{'op': 'free', 'id': 65}",0,954,1824,1824.0,0.0,0.5546875,0.5546875
87,"{'op': 'alloc', 'id': 81, 'size': 14}",14,968,1856,1856.0,0.0,0.546875,0.546875
88,"{'op': 'free', 'id': 42}",0,963,1824,1824.0,0.0,0.5546875,0.5546875
89,"{'op': 'alloc', 'id': 82, 'size': 3}",3,966,1856,1856.0,0.0,0.546875,0.546875
90,"{'op': 'alloc', 'id': 83, 'size': 24}",24,990,1888,1888.0,0.0,0.5390625,0.5390625
91,"{'op': 'free', 'id': 54}",0,990,1888,1888.0,0.0,0.5390625,0.5390625
92,"{'op': 'alloc', 'id': 85, 'size': 24}",24,1014,1920,1920.0,0.0,0.53125,0.53125
93,"{'op': 'free', 'id': 53}",0,997,1888,1888.0,0.0,0.5390625,0.5390625
94,"{'op': 'free', 'id': 45}",0,990,1856,1856.0,0.0,0.546875,0.546875
95,"{'op': 'free', 'id': 66}",0,980,1824,1824.0,0.0,0.5546875,0.5546875
96,"{'op': 'alloc', 'id': 88, 'size': 23}",23,1003,1856,1856.0,0.0,0.546875,0.546875
97,"{'op': 'alloc', 'id': 89, 'size': 22}",22,1025,1888,1888.0,0.0,0.5390625,0.5390625
98,"{'op': 'alloc', 'id': 90, 'size': 21}",21,1046,1920,1920.0,0.0,0.53125,0.53125
99,"{'op': 'alloc', 'id': 91, 'size': 24}",24,1070,1952,1952.0,0.0,0.5234375,0.5234375
100,"{'op': 'alloc', 'id': 92, 'size': 2}",2,1072,1984,1984.0,0.0,0.515625,0.515625
101,"{'op': 'alloc', 'id': 93, 'size': 23}",23,1095,2016,2016.0,0.0,0.5078125,0.5078125
102,"{'op': 'alloc', 'id': 94, 'size': 3}",3,1098,2048,2048.0,0.0,0.5,0.5
103,"{'op': 'alloc', 'id': 95, 'size': 28}",28,1126,2080,2080.0,0.0,0.4921875,0.4921875
104,"{'op': 'free', 'id': 51}",0,1114,2048,2048.0,0.0,0.5,0.5
105,"{'op': 'alloc', 'id': 96, 'size': 6}",6,1120,2080,2080.0,0.0,0.4921875,0.4921875
106,"{'op': 'free', 'id': 58}",0,1092,2048,2048.0,0.0,0.5,0.5
107,"{'op': 'alloc', 'id': 97, 'size': 12}",12,1104,2080,2080.0,0.0,0.4921875,0.4921875
108,"{'op': 'free', 'id': 71}",0,1102,2048,2048.0,0.0,0.5,0.5
